Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
YONGY,Yongnam Holdings Limited,PNK,EQUITY,Agricultural Chemicals,USD,Share,85.28,22.88,85.28,135.04M,1
MBC.TO,MBAC Fertilizer Corp,TOR,EQUITY,Agricultural Chemicals,CAD,Share,0.09,0.01,0.40,14.53M,1737560
MGO.TO,Migao Corporation,TOR,EQUITY,Agricultural Chemicals,CAD,Share,0.67,0.59,1.70,37.27M,39181
AIRT,Air T Inc.,NCM,EQUITY,Air Delivery & Freight Services,USD,Share,21.31,10.68,28.00,61.86M,6368
FWRD,Forward Air Corp.,NMS,EQUITY,Air Delivery & Freight Services,USD,Share,53.09,43.30,57.65,1.64B,190562
EXPD,Expeditors International of Washington Inc.,NMS,EQUITY,Air Delivery & Freight Services,USD,Share,46.79,38.14,49.51,8.74B,1224780
GPW.V,Grand Power Logistics Group Inc.,VAN,EQUITY,Air Delivery & Freight Services,CAD,Share,0.09,0.03,0.10,6.71M,131917
GND.PA,Norbert Dentressangle S.A.,PAR,EQUITY,Air Delivery & Freight Services,EUR,Share,218.00,95.80,221.60,2.13B,12393
WNL.F,WILH. WILHELMSEN,FRA,EQUITY,Air Delivery & Freight Services,EUR,Share,5.597,4.432,6.664,,100
NRINTER.BO,NR International Ltd.,BSE,EQUITY,Air Delivery & Freight Services,,Share,,,,,
CGOA.SG,MODUSLINK GLBL SOLS,STU,EQUITY,Air Delivery & Freight Services,,Share,,,,,
CNR,China Metro-Rural Holdings Limited,ASE,EQUITY,Air Delivery & Freight Services,USD,Share,1.04,0.57,1.55,74.87M,12849
TOL.AX,Toll Holdings Limited,ASX,EQUITY,Air Delivery & Freight Services,AUD,Share,,,,,
XUN.SG,SHUN TAK HLDGS,STU,EQUITY,Air Delivery & Freight Services,EUR,Share,0.495,0.355,0.543,,20000
PVI.V,Pro trans Ventures Inc.,VAN,EQUITY,Air Delivery & Freight Services,,Share,,,,,
XJL.F,CHINA MET-RURAL HLD,FRA,EQUITY,Air Delivery & Freight Services,EUR,Share,0.869,0.633,1.095,,
FRE.NZ,Freightways Limited,NZE,EQUITY,Air Delivery & Freight Services,NZD,Share,5.97,4.75,6.40,885.15M,184031
JLWT,Janel World Trade Ltd.,PNK,EQUITY,Air Delivery & Freight Services,,Share,0,,,,
DPW.DE,Deutsche Post AG,GER,EQUITY,Air Delivery & Freight Services,EUR,Share,27.01,21.55,31.18,34.31B,4953625
KPL.F,KEPPEL TEL & TRANSP,FRA,EQUITY,Air Delivery & Freight Services,EUR,Share,1.024,0.872,1.298,,
KSC.AX,K & S Corporation Limited,ASX,EQUITY,Air Delivery & Freight Services,AUD,Share,1.38,1.12,1.65,155.63M,13120
