Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
EFUT,e-Future Information Technology Inc.,NCM,equity,Application Software,USD,Share,5.66,,6.60,21.04M,27484
PCTY,Paylocity Holding Corporation,NMS,equity,Application Software,USD,Share,34.78,,37.96,1.79B,230914
PRGS,Progress Software Corporation,NMS,equity,Application Software,USD,Share,28.03,,30.57,1.51B,270387
COVS,Covisint Corporation,NMS,equity,Application Software,USD,Share,2.95,,5.31,124.89M,438689
AMAP,AutoNavi Holdings Limited,NMS,equity,Application Software,,Share,1,,21,,1977810
PRLS,Peerless Systems Corp.,NCM,equity,Application Software,,Share,0,,7,,5728
MDSY,BluePhoenix Solutions Ltd.,NGM,equity,Application Software,USD,Share,1.92,,4.29,28.64M,1111
VSMR,Verify Smart Corp.,PNK,equity,Application Software,USD,Share,0.039,,0.200,1.91M,2227
ATEA,Astea International Inc.,NCM,equity,Application Software,USD,Share,1.78,,2.95,6.28M,2275
PLUS,ePlus inc.,NMS,equity,Application Software,USD,Share,79.98,,91.38,581.22M,74284
EGOV,NIC Inc.,NMS,equity,Application Software,USD,Share,17.78,,19.40,1.18B,202563
ZIXI,Zix Corporation,NMS,equity,Application Software,USD,Share,5.02,,5.47,303.86M,444864
CDNS,Cadence Design Systems Inc.,NMS,equity,Application Software,USD,Share,19.84,,20.51,5.76B,3912450
NSIT,Insight Enterprises Inc.,NMS,equity,Application Software,USD,Share,30.54,,32.80,1.11B,239024
OTEX,Open Text Corporation,NMS,equity,Application Software,USD,Share,41.536,,61.740,4.77B,493048
TIGR,TigerLogic Corporation,NCM,equity,Application Software,USD,Share,0.3638,,1.5000,9.52M,53560
NQ,NQ Mobile Inc.,NYQ,equity,Application Software,USD,Share,5.05,,10.69,372.88M,2017090
CPWR,Compuware Corporation,NMS,equity,Application Software,,Share,0,,10,,
AVG,AVG Technologies N.V.,NYQ,equity,Application Software,USD,Share,26.83,,29.09,1.45B,475767
MSTR,MicroStrategy Inc.,NMS,equity,Application Software,USD,Share,175.57,,197.89,2.05B,85351
WDDD,Worlds Inc.,PNK,equity,Application Software,USD,Share,0.0979,,0.2700,12.38M,263071
TSYS,TeleCommunication Systems Inc.,NMS,equity,Application Software,USD,Share,3.41,,4.20,252.88M,192543
MTLS,Materialise NV,NMS,equity,Application Software,USD,Share,8.77,,13.30,464.61M,62773
SEAC,SeaChange International Inc.,NMS,equity,Application Software,USD,Share,7.29,,8.55,240.48M,196697
MSCI,MSCI Inc.,NYQ,equity,Application Software,USD,Share,62.29,,64.53,7.25B,578224
