symbol,name,exchange,type,category
CYD.BE,CHINA YUCHAI INTL,BER,equity,Diversified Machinery
IWJ.BE,IHI,BER,equity,Diversified Machinery
VSJ.DE,Advanced Vision Technology Ltd.,GER,equity,Diversified Machinery
KRN.F,KRONES,FRA,equity,Diversified Machinery
VVC,Vectren Corporation,NYQ,equity,Diversified Utilities
RWE.HA,RWE ,HAN,equity,Diversified Utilities
AVA,Avista Corp.,NYQ,equity,Diversified Utilities
OPL.V,POET Technologies Inc.,VAN,equity,Diversified Utilities
MDU,MDU Resources Group Inc.,NYQ,equity,Diversified Utilities
FVR.V,Finavera Wind Energy Inc.,VAN,equity,Diversified Utilities
GTH.TO,U.S. Geothermal Inc.,TOR,equity,Diversified Utilities
NTPC.BO,NTPC Ltd.,BSE,equity,Diversified Utilities
RNW.TO,TransAlta Renewables Inc.,TOR,equity,Diversified Utilities
AQN.TO,Algonquin Power & Utilities Corp.,TOR,equity,Diversified Utilities
CZZ,Cosan Ltd.,NYQ,equity,Diversified Utilities
RWE.DE,RWE AG,GER,equity,Diversified Utilities
MXG.TO,Maxim Power Corp.,TOR,equity,Diversified Utilities
VBK.BE,VERBIO VGT BIOENERG,BER,equity,Diversified Utilities
HRP.MU,COLEXON ENERGY,MUN,equity,Diversified Utilities
SAG.DU,S.A.G. SOLARSTROM ,DUS,equity,Diversified Utilities
VBK.DE,VERBIO Vereinigte BioEnergie AG,GER,equity,Diversified Utilities
UGI,UGI Corporation,NYQ,equity,Diversified Utilities
ENEL.MI,Enel SpA,MIL,equity,Diversified Utilities
IRE.MI,Iren SpA,MIL,equity,Diversified Utilities
NWE,Northwestern Corporation,NYQ,equity,Diversified Utilities
EXC,Exelon Corporation,NYQ,equity,Diversified Utilities
CWE.AX,Carnegie Wave Energy Limited,ASX,equity,Diversified Utilities
KNX.MI,Kinexia SpA,MIL,equity,Diversified Utilities
PEGI,Pattern Energy Group Inc.,NMS,equity,Diversified Utilities
RWE.F,RWE ,FRA,equity,Diversified Utilities
BIP-UN.TO,Brookfield Infrastructure Partners L.P.,TOR,equity,Diversified Utilities
MGEE,MGE Energy Inc.,NMS,equity,Diversified Utilities
SWVK.HA,SOLARWORLD,HAN,equity,Diversified Utilities
VQKA.F,RENESOLA SP ADR,FRA,equity,Diversified Utilities
FNRG,ForceField Energy Inc.,NCM,equity,Diversified Utilities
SPB.TO,Superior Plus Corp.,TOR,equity,Diversified Utilities
OEG.V,ONEnergy Inc.,VAN,equity,Diversified Utilities
DYE.AX,Dyesol Limited,ASX,equity,Diversified Utilities
NPI.TO,Northland Power Inc.,TOR,equity,Diversified Utilities
JSWENERGY.NS,JSW Energy Limited,NSI,equity,Diversified Utilities
PEG.TO,Pattern Energy Group Inc.,TOR,equity,Diversified Utilities
BEP,Brookfield Renewable Energy Partners LP,NYQ,equity,Diversified Utilities
EMB.V,EmberClear Corp.,VAN,equity,Diversified Utilities
BIP,Brookfield Infrastructure Partners L.P.,NYQ,equity,Diversified Utilities
PEG,Public Service Enterprise Group Inc.,NYQ,equity,Diversified Utilities
NTPC.NS,NTPC Ltd.,NSI,equity,Diversified Utilities
MMMW,Mass Megawatts Wind Power Inc.,PNK,equity,Diversified Utilities
LEC.V,Lignol Energy Corporation,VAN,equity,Diversified Utilities
JPPOWER.BO,Jaiprakash Power Ventures Limited,BSE,equity,Diversified Utilities
EWC.AX,Energy World Corp. Ltd.,ASX,equity,Diversified Utilities
PRHL,Premier Holding Corp.,PNK,equity,Diversified Utilities
CU.TO,Canadian Utilities Ltd.,TOR,equity,Diversified Utilities
SAG.SG,S.A.G. SOLARSTROM ,STU,equity,Diversified Utilities
EOAN.F,E.ON N,FRA,equity,Diversified Utilities
RWEA.DE,RWE AG,GER,equity,Diversified Utilities
QSPW,Quantum Solar Power Corp.,PNK,equity,Diversified Utilities
DUK,Duke Energy Corporation,NYQ,equity,Diversified Utilities
ENL.DE,Enel SpA,GER,equity,Diversified Utilities
AKH.V,Alaska Hydro Corporation,VAN,equity,Diversified Utilities
AGK.AX,AGL Energy Limited,ASX,equity,Diversified Utilities
FCEL,FuelCell Energy Inc.,NGM,equity,Diversified Utilities
CNA.L,Centrica plc,LSE,equity,Diversified Utilities
CESC.NS,CESC Limited,NSI,equity,Diversified Utilities
EOAN.DE,E.ON SE,GER,equity,Diversified Utilities
TEO.PA,THEOLIA S.A.,PAR,equity,Diversified Utilities
JE.TO,Just Energy Group Inc.,TOR,equity,Diversified Utilities
OTTR,Otter Tail Corporation,NMS,equity,Diversified Utilities
SRE,Sempra Energy,NYQ,equity,Diversified Utilities
ETX.TO,Etrion Corporation,TOR,equity,Diversified Utilities
UTL,Unitil Corp.,NYQ,equity,Diversified Utilities
TAC,TransAlta Corp.,NYQ,equity,Diversified Utilities
SFX.DE,Solar-Fabrik AG,GER,equity,Diversified Utilities
ETG.MU,ENVITEC BIOGAS,MUN,equity,Diversified Utilities
ATP.TO,Atlantic Power Corporation,TOR,equity,Diversified Utilities
SHL.BE,SOLARHYBRID,BER,equity,Diversified Utilities
NI,NiSource Inc.,NYQ,equity,Diversified Utilities
DRX.L,Drax Group plc.,LSE,equity,Diversified Utilities
VQKA.DE,ReneSola Ltd.,GER,equity,Diversified Utilities
QCX.SG,CARMANAH TECH,STU,equity,Diversified Utilities
ETG.SG,ENVITEC BIOGAS,STU,equity,Diversified Utilities
EBK.DU,ENBW ENERGIE B-W,DUS,equity,Diversified Utilities
NU,Northeast Utilities,NYQ,equity,Diversified Utilities
HTM,U.S. Geothermal Inc.,ASE,equity,Diversified Utilities
EDF.PA,Electricite de France SA,PAR,equity,Diversified Utilities
RWE.SG,RWE ,STU,equity,Diversified Utilities
SHX.SG,HUADIAN POWER -H-,STU,equity,Diversified Utilities
EWW.F,ENERGY WORLD CORP,FRA,equity,Diversified Utilities
GSZ.PA,GDF SUEZ S.A.,PAR,equity,Diversified Utilities
JE,Just Energy Group Inc.,NYQ,equity,Diversified Utilities
FTL.MI,Fintel Energia Group SpA,MIL,equity,Diversified Utilities
TAC.V,Tasca Resources Ltd.,VAN,equity,Diversified Utilities
NG.L,National Grid plc,LSE,equity,Diversified Utilities
ALVER.PA,Vergnet SA,PAR,equity,Diversified Utilities
SWW.MU,SUNWAYS,MUN,equity,Diversified Utilities
PJC-A.TO,The Jean Coutu Group (PJC) Inc.,TOR,equity,Drug Delivery
GNBT,Generex Biotechnology Corp.,PNK,equity,Drug Delivery
ELN.V,El Nino Ventures Inc.,VAN,equity,Drug Delivery
ALKS,Alkermes plc,NMS,equity,Drug Delivery
INSV,InSite Vision Incorporated,PNK,equity,Drug Delivery
WGN.SG,WALGREEN,STU,equity,Drug Delivery
CBRX,Columbia Laboratories Inc.,NCM,equity,Drug Delivery
ARDM,Aradigm Corporation,NCM,equity,Drug Delivery
WGN.DE,Walgreen Co.,GER,equity,Drug Delivery
WGN.F,WALGREEN,FRA,equity,Drug Delivery
WGN.BE,WALGREEN,BER,equity,Drug Delivery
FLML,Flamel Technologies SA,NGM,equity,Drug Delivery
ADMP,Adamis Pharmaceuticals Corporation,NCM,equity,Drug Delivery
IPXL,Impax Laboratories Inc.,NMS,equity,Drug Manufacturers - Major
XYXR.F,RAPTOR PHARM,FRA,equity,Drug Manufacturers - Major
XIN.F,XINHUA PHARMA -H-,FRA,equity,Drug Manufacturers - Major
BAYN.DE,Bayer AG,GER,equity,Drug Manufacturers - Major
TTKHEALTH.NS,TTK Healthcare Limited,NSI,equity,Drug Manufacturers - Major
JNJ,Johnson & Johnson,NYQ,equity,Drug Manufacturers - Major
YPH.DU,ASTELLAS PHARMA,DUS,equity,Drug Manufacturers - Major
BON.SG,BOIRON,STU,equity,Drug Manufacturers - Major
ZEG.DE,AstraZeneca PLC,GER,equity,Drug Manufacturers - Major
ORTIN.BO,Ortin Laboratories Ltd.,BSE,equity,Drug Manufacturers - Major
PFIZER.NS,Pfizer Limited,NSI,equity,Drug Manufacturers - Major
BMY,Bristol-Myers Squibb Company,NYQ,equity,Drug Manufacturers - Major
NVGN,Novogen Limited,NCM,equity,Drug Manufacturers - Major
MRK,Merck & Co. Inc.,NYQ,equity,Drug Manufacturers - Major
ZEG.DU,ASTRAZENECA,DUS,equity,Drug Manufacturers - Major
CIPLA.NS,Cipla Limited,NSI,equity,Drug Manufacturers - Major
XYXR.SG,RAPTOR PHARM,STU,equity,Drug Manufacturers - Major
TNXP,Tonix Pharmaceuticals Holding Corp,NGM,equity,Drug Manufacturers - Major
LLY.DE,Eli Lilly and Company,GER,equity,Drug Manufacturers - Major
AZN.L,AstraZeneca PLC,LSE,equity,Drug Manufacturers - Major
ZEGA.SG,ASTRAZENECA SP ADR,STU,equity,Drug Manufacturers - Major
JNJ.DU,JOHNSON & JOHNSON,DUS,equity,Drug Manufacturers - Major
DPH.L,Dechra Pharmaceuticals plc,LSE,equity,Drug Manufacturers - Major
WINTAC.BO,Wintac Ltd.,BSE,equity,Drug Manufacturers - Major
JNJ.SG,JOHNSON & JOHNSON,STU,equity,Drug Manufacturers - Major
GSK,GlaxoSmithKline plc,NYQ,equity,Drug Manufacturers - Major
KOPRAN.BO,Kopran Limited,BSE,equity,Drug Manufacturers - Major
JNJ.MU,JOHNSON & JOHNSON,MUN,equity,Drug Manufacturers - Major
JNJ.BE,JOHNSON & JOHNSON,BER,equity,Drug Manufacturers - Major
AZN.V,Arcturus Ventures Inc.,VAN,equity,Drug Manufacturers - Major
GWPH,GW Pharmaceuticals plc,NGM,equity,Drug Manufacturers - Major
PFE,Pfizer Inc.,NYQ,equity,Drug Manufacturers - Major
SZD.F,SANTEN PHARMA CO,FRA,equity,Drug Manufacturers - Major
NVS,Novartis AG,NYQ,equity,Drug Manufacturers - Major
GOGC,Global Green Inc.,PNK,equity,Drug Manufacturers - Major
KILITCH.NS,Kilitch Drugs (India) Limited,NSI,equity,Drug Manufacturers - Major
YPH.F,ASTELLAS PHARMA,FRA,equity,Drug Manufacturers - Major
ABBV,AbbVie Inc.,NYQ,equity,Drug Manufacturers - Major
RX.V,BioSyent Inc.,VAN,equity,Drug Manufacturers - Major
VENUSREM.NS,Venus Remedies Ltd.,NSI,equity,Drug Manufacturers - Major
NOT.DE,Novartis AG,GER,equity,Drug Manufacturers - Major
YPH.MU,ASTELLAS PHARMA,MUN,equity,Drug Manufacturers - Major
SNW.DE,Sanofi,GER,equity,Drug Manufacturers - Major
YPH.SG,ASTELLAS PHARMA,STU,equity,Drug Manufacturers - Major
XIN.SG,XINHUA PHARMA -H-,STU,equity,Drug Manufacturers - Major
VSC.AX,Vita Life Sciences Limited,ASX,equity,Drug Manufacturers - Major
SNW.SG,SANOFI,STU,equity,Drug Manufacturers - Major
ZYDEN.BO,Zyden Gentec Ltd.,BSE,equity,Drug Manufacturers - Major
NATCAPSUQ.BO,Natural Capsules Ltd.,BSE,equity,Drug Manufacturers - Major
ZENITHHE.BO,Zenith Healthcare Ltd,BSE,equity,Drug Manufacturers - Major
SAN.PA,Sanofi,PAR,equity,Drug Manufacturers - Major
PHRMASI.BO,Phaarmasia Limited,BSE,equity,Drug Manufacturers - Major
AZN,AstraZeneca PLC,NYQ,equity,Drug Manufacturers - Major
GSK.L,GlaxoSmithKline plc,LSE,equity,Drug Manufacturers - Major
GODAVARI.BO,Godavari Drugs Ltd.,BSE,equity,Drug Manufacturers - Major
NOTA.DE,Novartis AG,GER,equity,Drug Manufacturers - Major
ZEGA.MU,ASTRAZENECA SP ADR,MUN,equity,Drug Manufacturers - Major
SNY,Sanofi,NYQ,equity,Drug Manufacturers - Major
VEC.L,Vectura Group plc,LSE,equity,Drug Manufacturers - Major
JNJ.DE,Johnson & Johnson,GER,equity,Drug Manufacturers - Major
NRT.AX,Novogen Limited,ASX,equity,Drug Manufacturers - Major
LLY,Eli Lilly and Company,NYQ,equity,Drug Manufacturers - Major
SKBI,Skystar Bio Pharmaceutical Company,NCM,equity,Drug Manufacturers - Major
ZEGA.F,ASTRAZENECA SP ADR,FRA,equity,Drug Manufacturers - Major
ZEGA.BE,ASTRAZENECA SP ADR,BER,equity,Drug Manufacturers - Major
NOT.MU,NOVARTIS N,MUN,equity,Drug Manufacturers - Major
ZEG.BE,ASTRAZENECA,BER,equity,Drug Manufacturers - Major
RPTP,Raptor Pharmaceuticals Corp.,NGM,equity,Drug Manufacturers - Major
NTRR,Neutra Corp.,PNK,equity,Drug Manufacturers - Major
AHS.V,Alta Natural Herbs & Supplements Ltd.,VAN,equity,Drug Manufacturers - Major
RGRX,Regenerx Biopharmaceuticals Inc.,PNK,equity,Drug Manufacturers - Other
CRME,Cardiome Pharma Corp.,NCM,equity,Drug Manufacturers - Other
BIOD,Biodel Inc.,NCM,equity,Drug Manufacturers - Other
AGN,Allergan Inc.,NYQ,equity,Drug Manufacturers - Other
DRRX,DURECT Corporation,NGM,equity,Drug Manufacturers - Other
POZN,POZEN Inc.,NMS,equity,Drug Manufacturers - Other
PRTX,Protalex Inc.,PNK,equity,Drug Manufacturers - Other
DEPO,DepoMed Inc.,NMS,equity,Drug Manufacturers - Other
TEVA,Teva Pharmaceutical Industries Limited,NYQ,equity,Drug Manufacturers - Other
NUIN,Nutrastar International Inc.,OBB,equity,Drug Manufacturers - Other
UTHR,United Therapeutics Corporation,NMS,equity,Drug Manufacturers - Other
DVAX,Dynavax Technologies Corporation,NCM,equity,Drug Manufacturers - Other
AMRN,Amarin Corporation plc,NGM,equity,Drug Manufacturers - Other
ENDP,Endo International plc,NMS,equity,Drug Manufacturers - Other
ALXA,Alexza Pharmaceuticals Inc.,NGM,equity,Drug Manufacturers - Other
AHRO,AtheroNova Inc.,PNK,equity,Drug Manufacturers - Other
TARO,Taro Pharmaceutical Industries Ltd.,NYQ,equity,Drug Manufacturers - Other
AUXL,Auxilium Pharmaceuticals Inc.,NMS,equity,Drug Related Products
RBCL,RBC Life Sciences Inc.,PNK,equity,Drug Related Products
NAII,Natural Alternatives International Inc.,NGM,equity,Drug Related Products
PRGO,Perrigo Company Public Limited Company,NYQ,equity,Drug Related Products
CTDH,CTD Holdings Inc.,PNK,equity,Drug Related Products
USNA,USANA Health Sciences Inc.,NYQ,equity,Drug Related Products
NPD,China Nepstar Chain Drugstore Ltd.,NYQ,equity,Drug Stores
PMC,PharMerica Corporation,NYQ,equity,Drug Stores
GNC,GNC Holdings Inc.,NYQ,equity,Drug Stores
WAG,Walgreen Co.,NYQ,equity,Drug Stores
RAD,Rite Aid Corporation,NYQ,equity,Drug Stores
DND.TO,Cipher Pharmaceuticals Inc.,TOR,equity,Drugs - Generic
VISTAPH.BO,Vista Pharmaceuticals Limited,BSE,equity,Drugs - Generic
HZNP,Horizon Pharma plc,NMS,equity,Drugs - Generic
ABT,Abbott Laboratories,NYQ,equity,Drugs - Generic
MDCO,The Medicines Company,NMS,equity,Drugs - Generic
IPN.PA,Ipsen S.A.,PAR,equity,Drugs - Generic
TEV.DE,Teva Pharmaceutical Industries Limited,GER,equity,Drugs - Generic
ACT,Actavis plc,NYQ,equity,Drugs - Generic
MNK,Mallinckrodt public limited company,NYQ,equity,Drugs - Generic
SLXP,Salix Pharmaceuticals Ltd.,NMS,equity,Drugs - Generic
PSDV,pSivida Corp.,NGM,equity,Drugs - Generic
ROSE.BA,Instituto Rosenbusch S.A.,BUE,equity,Drugs - Generic
CAN.V,Orca Gold Inc.,VAN,equity,Drugs - Generic
TKD.F,TAKEDA PHARMA,FRA,equity,Drugs - Generic
HMU.DU,HMS BERGBAU,DUS,equity,Drugs - Generic
MRK.DE,Merck KGaA,GER,equity,Drugs - Generic
LUPIN.BO,Lupin Limited,BSE,equity,Drugs - Generic
CPRX,Catalyst Pharmaceutical Partners Inc.,NCM,equity,Drugs - Generic
TKD.MU,TAKEDA PHARMA,MUN,equity,Drugs - Generic
VNSN,Vansen Pharma Inc.,PNK,equity,Drugs - Generic
SMRUTHI.BO,Smruthi Organics Limited,BSE,equity,Drugs - Generic
EGRX,Eagle Pharmaceuticals Inc.,NGM,equity,Drugs - Generic
JXS.F,OREXIGEN THERAPUTCS,FRA,equity,Drugs - Generic
EVT.DE,Evotec AG,GER,equity,Drugs - Generic
LDZA.F,ASPEN PHARMACARE,FRA,equity,Drugs - Generic
SAZ.DU,STADA ARZNEIMIT. N,DUS,equity,Drugs - Generic
KIS.BE,KISSEI PHARMA,BER,equity,Drugs - Generic
GUD.TO,Knight Therapeutics Inc.,TOR,equity,Drugs - Generic
AQXP,Aquinox Pharmaceuticals Inc.,NGM,equity,Drugs - Generic
CANV,CannaVEST Corp.,PNK,equity,Drugs - Generic
MNTA,Momenta Pharmaceuticals Inc.,NMS,equity,Drugs - Generic
DPA.F,DAITO PHARMA,FRA,equity,Drugs - Generic
LDZA.SG,ASPEN PHARMACARE,STU,equity,Drugs - Generic
MRK.SG,MERCK,STU,equity,Drugs - Generic
PARN,Parnell Pharmaceuticals Holdings Ltd.,NGM,equity,Drugs - Generic
QRX.AX,QRxPharma Limited,ASX,equity,Drugs - Generic
EVT.SG,EVOTEC,STU,equity,Drugs - Generic
HIK.L,Hikma Pharmaceuticals plc,LSE,equity,Drugs - Generic
ZTS,Zoetis Inc.,NYQ,equity,Drugs - Generic
NBIX,Neurocrine Biosciences Inc.,NMS,equity,Drugs - Generic
MYOS,MYOS Corporation,NCM,equity,Drugs - Generic
HSP,Hospira Inc.,NYQ,equity,Drugs - Generic
SAZ.DE,Stada-Arzneimittel AG,GER,equity,Drugs - Generic
GEKA.F,GENOMMA LAB-B,FRA,equity,Drugs - Generic
TRIMURTHI.BO,Trimurthi Drugs & Pharmaceuticals Limited,BSE,equity,Drugs - Generic
TKD.BE,TAKEDA PHARMA,BER,equity,Drugs - Generic
MCK,McKesson Corporation,NYQ,equity,Drugs Wholesale
ABC,AmerisourceBergen Corporation,NYQ,equity,Drugs Wholesale
VIG.AX,Victor Group Holdings Limited,ASX,equity,Education & Training Services
SPRO,SmartPros Ltd.,NCM,equity,Education & Training Services
GPX,GP Strategies Corp.,NYQ,equity,Education & Training Services
EDU,New Oriental Education & Technology Group Inc.,NYQ,equity,Education & Training Services
KME.AX,Kip McGrath Education Centres Ltd.,ASX,equity,Education & Training Services
XUE,Xueda Education Group,NYQ,equity,Education & Training Services
STRA,Strayer Education Inc.,NMS,equity,Education & Training Services
EDMC,Education Management Corporation,PNK,equity,Education & Training Services
SCHS,SmartChase Corp.,PNK,equity,Education & Training Services
DL,China Distance Education Holdings Limited,NYQ,equity,Education & Training Services
LINC,Lincoln Educational Services Corporation,NMS,equity,Education & Training Services
SLC.V,Slyce Inc.,VAN,equity,Education & Training Services
ESI,ITT Educational Services Inc.,NYQ,equity,Education & Training Services
CAST,ChinaCast Education Corporation,PNK,equity,Education & Training Services
FC,Franklin Covey Co.,NYQ,equity,Education & Training Services
HMHC,Houghton Mifflin Harcourt Company,NMS,equity,Education & Training Services
RSWN,Rosewind Corp,PNK,equity,Education & Training Services
LTRE,Learning Tree International Inc.,NGM,equity,Education & Training Services
CPLA,Capella Education Co.,NMS,equity,Education & Training Services
VISUINTL.BO,Visu International Limited,BSE,equity,Education & Training Services
SGU.AX,Success Resources Global Ltd,ASX,equity,Education & Training Services
DV,DeVry Education Group Inc.,NYQ,equity,Education & Training Services
SCIL,Scientific Learning Corp.,PNK,equity,Education & Training Services
EPAX,Ambassadors Group Inc.,NMS,equity,Education & Training Services
XRS,TAL Education Group,NYQ,equity,Education & Training Services
WIEI,Wonder International Education & Investment Group Corporation,PNK,equity,Education & Training Services
CECO,Career Education Corp.,NMS,equity,Education & Training Services
COCO,Corinthian Colleges Inc.,NMS,equity,Education & Training Services
MBA.TO,CIBT Education Group Inc.,TOR,equity,Education & Training Services
QQ.V,Quizam Media Corp.,VAN,equity,Education & Training Services
POWERGRID.BO,Power Grid Corporation of India Limited,BSE,equity,Electric Utilities
ENERGYDEV.NS,Energy Development Co. Ltd.,NSI,equity,Electric Utilities
KPO.SG,KANSAI EL POWER,STU,equity,Electric Utilities
EDE,The Empire District Electric Company,NYQ,equity,Electric Utilities
SKI.AX,Spark Infrastructure Group,ASX,equity,Electric Utilities
CNL,Cleco Corporation,NYQ,equity,Electric Utilities
GDY.AX,Geodynamics Limited,ASX,equity,Electric Utilities
HE,Hawaiian Electric Industries Inc.,NYQ,equity,Electric Utilities
POWERGRID.NS,Power Grid Corporation of India Limited,NSI,equity,Electric Utilities
NER.F,ENERSIS SA SP ADR,FRA,equity,Electric Utilities
NHPC.NS,NHPC Ltd.,NSI,equity,Electric Utilities
LNT,Alliant Energy Corporation,NYQ,equity,Electric Utilities
KOP.BE,KOREA EL PWR SP ADR,BER,equity,Electric Utilities
CPN,Calpine Corp.,NYQ,equity,Electric Utilities
WEC,Wisconsin Energy Corp.,NYQ,equity,Electric Utilities
NEE.V,Northern Vertex Mining Corp,VAN,equity,Electric Utilities
EIX,Edison International,NYQ,equity,Electric Utilities
FJG.BE,ELECTRIC POWER DEVL,BER,equity,Electric Utilities
OGE,OGE Energy Corp.,NYQ,equity,Electric Utilities
ABY,Abengoa Yield plc,NMS,equity,Electric Utilities
OEWA.F,VERBUND,FRA,equity,Electric Utilities
ORR.BE,CHINA PWR NEW ENERG,BER,equity,Electric Utilities
KOP.SG,KOREA EL PWR SP ADR,STU,equity,Electric Utilities
GXP,Great Plains Energy Incorporated,NYQ,equity,Electric Utilities
OEWA.DE,VERBUND AG,GER,equity,Electric Utilities
BKH,Black Hills Corporation,NYQ,equity,Electric Utilities
VCT.NZ,Vector Limited,NZE,equity,Electric Utilities
SO,Southern Company,NYQ,equity,Electric Utilities
GEIG,GEI Global Energy Corp.,OBB,equity,Electric Utilities
KRE.MI,K.R.Energy S.p.A.,MIL,equity,Electric Utilities
FKZ.SG,CPFL ENERGIA SP ADR,STU,equity,Electric Utilities
KPO.BE,KANSAI EL POWER,BER,equity,Electric Utilities
CMS,CMS Energy Corp.,NYQ,equity,Electric Utilities
KPO.F,KANSAI EL POWER,FRA,equity,Electric Utilities
VLTSA.PA,Voltalia,PAR,equity,Electric Utilities
JEL.L,Jersey Electricity plc,LSE,equity,Electric Utilities
CPX.TO,Capital Power Corporation,TOR,equity,Electric Utilities
AEE,Ameren Corporation,NYQ,equity,Electric Utilities
OEWA.BE,VERBUND,BER,equity,Electric Utilities
AES,The AES Corporation,NYQ,equity,Electric Utilities
TPW.NZ,TrustPower Limited,NZE,equity,Electric Utilities
PAM,Pampa Energia SA,NYQ,equity,Electric Utilities
ELLO,Ellomay Capital Ltd.,ASE,equity,Electric Utilities
ITC,ITC Holdings Corp.,NYQ,equity,Electric Utilities
DYN,Dynegy Inc.,NYQ,equity,Electric Utilities
XEL,Xcel Energy Inc.,NYQ,equity,Electric Utilities
NEYVELILI.NS,Neyveli Lignite Corporation Limited,NSI,equity,Electric Utilities
KEP,Korea Electric Power Corp.,NYQ,equity,Electric Utilities
FTS.TO,Fortis Inc.,TOR,equity,Electric Utilities
EPW.AX,ERM Power Limited,ASX,equity,Electric Utilities
AT,Atlantic Power Corporation,NYQ,equity,Electric Utilities
ORR.F,CHINA PWR NEW ENERG,FRA,equity,Electric Utilities
DTE,DTE Energy Company,NYQ,equity,Electric Utilities
EDN,Empresa Distribuidora y Comercializadora Norte S.A.,NYQ,equity,Electric Utilities
ETR,Entergy Corporation,NYQ,equity,Electric Utilities
PPL,PPL Corporation,NYQ,equity,Electric Utilities
ELI.BR,Elia System Operator SA,BRU,equity,Electric Utilities
NRN.MU,XCEL ENERGY ,MUN,equity,Electric Utilities
ERJ.AX,Enerji Ltd,ASX,equity,Electric Utilities
EE,El Paso Electric Co.,NYQ,equity,Electric Utilities
SCG,SCANA Corp.,NYQ,equity,Electric Utilities
KSK.NS,KSK Energy Ventures Limited,NSI,equity,Electric Utilities
PNW,Pinnacle West Capital Corporation,NYQ,equity,Electric Utilities
ELP,Companhia Paranaense de Energia,NYQ,equity,Electric Utilities
POR,Portland General Electric Company,NYQ,equity,Electric Utilities
PWC.F,PINNACLE WEST CAP,FRA,equity,Electric Utilities
REO.V,Reservoir Capital Corp,VAN,equity,Electric Utilities
ORA,Ormat Technologies Inc.,NYQ,equity,Electric Utilities
NEYVELILIG.BO,Neyveli Lignite Corporation Limited,BSE,equity,Electric Utilities
EOC,Empresa Nacional de Electricidad S.A.,NYQ,equity,Electric Utilities
FE,FirstEnergy Corp.,NYQ,equity,Electric Utilities
NRN.BE,XCEL ENERGY ,BER,equity,Electric Utilities
XCN.F,CLARION CO LTD,FRA,equity,Electronic Equipment
PIO.BE,PIONEER,BER,equity,Electronic Equipment
FEV.DE,Fortec Elektronik AG,GER,equity,Electronic Equipment
FUX.BE,FUNAI ELECTRIC,BER,equity,Electronic Equipment
NICE.MI,Nice SpA,MIL,equity,Electronic Equipment
WHR.F,WHIRLPOOL,FRA,equity,Electronic Equipment
PHG,Koninklijke Philips N.V,NYQ,equity,Electronic Equipment
XCN.MU,CLARION CO LTD,MUN,equity,Electronic Equipment
EDIG,e.Digital Corporation,PNK,equity,Electronic Equipment
WHR.DE,Whirlpool Corp.,GER,equity,Electronic Equipment
JXR.PA,Archos SA,PAR,equity,Electronic Equipment
WHIRLPOOL.NS,Whirlpool of India Limited,NSI,equity,Electronic Equipment
SCE.DE,Schweizer Electronic AG,GER,equity,Electronic Equipment
SRP.BE,SHARP CORP OSAKA,BER,equity,Electronic Equipment
KOSS,Koss Corporation,NCM,equity,Electronic Equipment
WAT.AX,Waterco Ltd.,ASX,equity,Electronic Equipment
LACR.PA,Lacroix SA,PAR,equity,Electronic Equipment
VUZI,Vuzix Corporation,OBB,equity,Electronic Equipment
FN,Fabrinet,NYQ,equity,Electronic Equipment
PHIA.DU,KONINK PHIL SP ADR,DUS,equity,Electronic Equipment
TXA.DU,AMATECH ,DUS,equity,Electronic Equipment
AFC.SI,Yuuzoo Corporation Limited,SES,equity,Electronic Equipment
SNE,Sony Corporation,NYQ,equity,Electronic Equipment
XCN.DU,CLARION CO LTD,DUS,equity,Electronic Equipment
HOD.F,HOSIDEN,FRA,equity,Electronic Equipment
KYW.MU,SKYWORTH DIGITAL,MUN,equity,Electronic Equipment
KYW.F,SKYWORTH DIGITAL,FRA,equity,Electronic Equipment
UEIC,Universal Electronics Inc.,NMS,equity,Electronic Equipment
TXA.BE,AMATECH ,BER,equity,Electronic Equipment
PHIA.MI,Koninklijke Philips N.V,MIL,equity,Electronic Equipment
WATT,Energous Corporation,NCM,equity,Electronic Equipment
WHIRLPOOL.BO,Whirlpool of India Limited,BSE,equity,Electronic Equipment
KODK,Eastman Kodak Co.,NYQ,equity,Electronic Equipment
SRP.F,SHARP CORP OSAKA,FRA,equity,Electronic Equipment
AAPL,Apple Inc.,NMS,equity,Electronic Equipment
VGUARD.NS,V-Guard Industries Limited,NSI,equity,Electronic Equipment
AURZ,Aurios Inc.,PNK,equity,Electronic Equipment
XCN.BE,CLARION CO LTD,BER,equity,Electronic Equipment
BUOB.SG,BANG & OLUFSEN ,STU,equity,Electronic Equipment
VIDEOIND.NS,Videocon Industries Ltd.,NSI,equity,Electronic Equipment
MSN,Emerson Radio Corp.,ASE,equity,Electronic Equipment
ARCI,Appliance Recycling Centers of America Inc.,NCM,equity,Electronics Stores
RSH,RadioShack Corp.,NYQ,equity,Electronics Stores
CONN,Conns Inc.,NMS,equity,Electronics Stores
GME,GameStop Corp.,NYQ,equity,Electronics Stores
LFUS,Littelfuse Inc.,NMS,equity,Electronics Wholesale
HYB.F,HOYA,FRA,equity,Electronics Wholesale
AEY,ADDvantage Technologies Group Inc.,NGM,equity,Electronics Wholesale
WSO,Watsco Inc.,NYQ,equity,Electronics Wholesale
UPGI,Universal Power Group Inc.,PNK,equity,Electronics Wholesale
TAIT,Taitron Components Inc.,NCM,equity,Electronics Wholesale
